State,2020,2021,2022
Jammu & Kashmir,12726,13060,13395
Ladakh,286,294,302
Himachal Pradesh,8799,8978,9164
Punjab,38636,39521,40435
Chandigarh,1024,1053,1088
Uttaranchal,11482,11779,12065
Haryana,29219,30015,30851
Delhi,25178,25969,26735
Rajasthan,70987,72825,74725
Uttar Pradesh,201319,206088,210958
Bihar,103711,106435,109274
Sikkim,445,465,496
Arunachal Pradesh,1035,1064,1087
Nagaland,1768,1805,1854
Manipur,1899,2022,2097
Mizoram,1837,1919,1985
Tripura,2574,2623,2715
Meghalaya,2879,2943,3025
Assam,37880,38834,39787
West Bengal,108394,110972,113581
Jharkhand,33961,34910,35860
Orissa,50692,51829,52960
Chhattisgarh,27828,28529,29253
Madhya Pradesh,77888,79871,81901
Gujarat,69660,71507,73382
Daman,124,135,150
Dadra & Nagar Haveli,206,219,238
Maharashtra,116121,118906,121717
Telangana,47620,48775,49983
Andhra Pradesh,70424,71970,73536
Karnataka,85968,88126,90349
Goa,1618,1652,1700
Lakshadweep,27,28,28
Kerala,57155,58139,59143
Tamil Nadu,88866,91184,93536
Pondicherry,1577,1623,1679
Andaman & Nicobar Islands,366,380,393
Total,"13,92,179","14,26,447","14,61,427"
