"Gene","F_statistic","p_value","variance","rejected"
"gene_9177",1085.74815078699,1.59828436548495e-315,44.7638492234198,TRUE
"gene_9176",3463.55032802289,0,36.3619395296228,TRUE
"gene_15899",770.457256253777,1.54551868716003e-267,34.5039145415954,TRUE
"gene_15302",463.127214949181,1.57979610820944e-202,33.4587759604949,TRUE
"gene_15590",170.677492929774,1.00100972556116e-103,31.3258446271366,TRUE
"gene_3541",634.016696801042,1.0428505335169e-241,30.5876957445424,TRUE
"gene_19662",31.5911015157647,3.89074318273311e-24,30.0804781846189,TRUE
"gene_3542",392.4276117198,2.35844917946089e-183,28.7216886228169,TRUE
"gene_11251",6.17977138219428,7.37296543387409e-05,26.5158874242754,TRUE
"gene_15898",1905.19087885985,0,26.0194459943916,TRUE
"gene_440",224.593006913405,9.9590653093417e-127,24.9072356456902,TRUE
"gene_8015",29.2007521641888,2.16796394541015e-22,24.5365515314578,TRUE
"gene_15897",826.241967121581,4.2357752080427e-277,23.9482387121914,TRUE
"gene_4774",84.8911776168706,3.93763196973525e-59,23.5853904925566,TRUE
"gene_19237",13.7204833610314,1.04239416440966e-10,22.2732708016542,TRUE
"gene_16284",19.0789948231156,7.95106367890256e-15,22.2190479120395,TRUE
"gene_9178",157.998345940338,7.97078260460387e-98,22.1758620693849,TRUE
"gene_3462",25.1286465629551,2.20562172493248e-19,22.1653105616016,TRUE
"gene_8892",43.3533272199662,1.75935082723763e-32,21.9957221082254,TRUE
"gene_2845",335.904065908292,2.72927593339225e-166,21.6337543139159,TRUE
"gene_12070",130.606838187069,2.4873720084206e-84,21.5980202908095,TRUE
"gene_7966",232.624881580408,6.68700474673039e-130,21.5107674662634,TRUE
"gene_6411",164.997038523474,4.11903158825955e-101,21.4605944082409,TRUE
"gene_11551",69.8841595364129,5.72031298112282e-50,21.3672716921333,TRUE
"gene_10267",92.958510918047,7.37846474981063e-64,21.1444953797307,TRUE
"gene_11356",8.70313359472206,8.1912970744726e-07,20.9647907494309,TRUE
"gene_13518",8.02250598731998,2.77017688936165e-06,20.9216812975347,TRUE
"gene_18811",296.363208382591,3.00731346863257e-153,20.8487599211351,TRUE
"gene_7965",1585.73214640856,0,20.8207318621424,TRUE
"gene_18746",1108.12877166845,1.80955001248877e-318,20.7964212731939,TRUE
"gene_13299",153.554744911939,1.04660399722448e-95,20.7165935563056,TRUE
"gene_3844",210.155552536187,7.15488421590344e-121,20.6667430512439,TRUE
"gene_3440",727.267598197384,9.19230990845432e-260,20.5976635902702,TRUE
"gene_12321",36.3494568528932,1.47411402590378e-27,20.4655781305992,TRUE
